status	pairing	importers	stubs	class	manifest	java_classes	real_path	stub_paths
TODO	unique	0	1	DebugCOFFLineNumber	DONE	Features/Base:ghidra/app/util/bin/format/pe/debug/DebugCOFFLineNumber.java	src/format/pe/debug/debug_coff_line_number.rs	src/format/seam_stubs.rs
TODO	unique	0	1	DebugCOFFSymbolTable	DONE	Features/Base:ghidra/app/util/bin/format/pe/debug/DebugCOFFSymbolTable.java	src/format/pe/debug/debug_coff_symbol_table.rs	src/format/seam_stubs.rs
TODO	unique	0	1	DefaultToolOptions	-	-	src/feature/vt/api/implementation/markup_item_impl.rs	src/framework/seam_stubs.rs
TODO	unique	0	1	FGLayout	DONE	Features/FunctionGraph:ghidra/app/plugin/core/functiongraph/graph/layout/FGLayout.java	src/app/plugin/core/functiongraph/graph/layout/fg_layout.rs	src/app/seam_stubs.rs
TODO	unique	0	1	FakeProvider	-	-	src/script/ghidra_script_util.rs	src/script/seam_stubs.rs
TODO	unique	0	1	FunctionDefinition	DONE	Framework/SoftwareModeling:ghidra/program/model/data/FunctionDefinition.java	src/program/model/data/function_definition.rs	src/format/seam_stubs.rs
TODO	unique	0	1	HighParamID	DONE	Framework/SoftwareModeling:ghidra/program/model/pcode/HighParamID.java	src/program/model/pcode/high_param_id.rs	src/app/seam_stubs.rs
TODO	unique	0	1	Parameter	DONE	Framework/SoftwareModeling:ghidra/program/model/listing/Parameter.java	src/program/model/listing/parameter.rs	src/format/seam_stubs.rs
TODO	unique	0	1	ParameterDefinition	DONE	Framework/SoftwareModeling:ghidra/program/model/data/ParameterDefinition.java	src/program/model/data/parameter_definition.rs	src/format/seam_stubs.rs
TODO	unique	0	1	VecRecordIterator	-	-	src/program/database/function/function_adapter.rs	src/feature/seam_stubs.rs
PARK	ambiguous(2)	68	1	Processor	DONE	Features/PDB:ghidra/app/util/bin/format/pdb2/pdbreader/Processor.java;Framework/SoftwareModeling:ghidra/program/model/lang/Processor.java	src/format/pdb2/pdbreader/processor.rs	src/program/seam_stubs.rs
PARK	ambiguous(2)	40	1	PatternExpression	DONE	Framework/SoftwareModeling:ghidra/app/plugin/processors/sleigh/expression/PatternExpression.java;Framework/SoftwareModeling:ghidra/pcodeCPort/slghpatexpress/PatternExpression.java	src/program/model/lang/sleigh/expression/mod.rs	src/decompiler/seam_stubs.rs
PARK	ambiguous(3)	27	2	Pattern	DONE|TODO	Features/Base:ghidra/util/bytesearch/Pattern.java;Framework/SoftwareModeling:ghidra/app/plugin/processors/sleigh/pattern/Pattern.java;Framework/SoftwareModeling:ghidra/pcodeCPort/slghpattern/Pattern.java	src/program/model/lang/sleigh/pattern/mod.rs	src/util/seam_stubs.rs;src/decompiler/seam_stubs.rs
PARK	ambiguous(2)	19	2	Constructor	DONE	Framework/SoftwareModeling:ghidra/app/plugin/processors/sleigh/Constructor.java;Framework/SoftwareModeling:ghidra/pcodeCPort/slghsymbol/Constructor.java	src/program/model/lang/sleigh/constructor/constructor_impl.rs	src/app/seam_stubs.rs;src/decompiler/seam_stubs.rs
TODO	ambiguous(2)	19	1	InstructionContext	DONE|TODO	Extensions/Lisa:ghidra/lisa/pcode/contexts/InstructionContext.java;Framework/SoftwareModeling:ghidra/program/model/lang/InstructionContext.java	src/program/model/lang/instruction_context.rs	src/program/seam_stubs.rs
TODO	ambiguous(2)	8	1	VarnodeTpl	DONE|TODO	Framework/SoftwareModeling:ghidra/app/plugin/processors/sleigh/template/VarnodeTpl.java;Framework/SoftwareModeling:ghidra/pcodeCPort/semantics/VarnodeTpl.java	src/program/model/lang/sleigh/template/varnode_tpl.rs	src/decompiler/seam_stubs.rs
TODO	ambiguous(2)	6	1	Field	DONE|TODO	Framework/DB:db/Field.java;Framework/Docking:docking/widgets/fieldpanel/field/Field.java	src/framework/db/field.rs	src/app/seam_stubs.rs
TODO	ambiguous(2)	4	1	ValueSymbol	DONE|TODO	Framework/SoftwareModeling:ghidra/app/plugin/processors/sleigh/symbol/ValueSymbol.java;Framework/SoftwareModeling:ghidra/pcodeCPort/slghsymbol/ValueSymbol.java	src/program/model/lang/sleigh/symbol/mod.rs	src/decompiler/seam_stubs.rs
TODO	ambiguous(2)	3	2	ConstructState	DONE	Framework/SoftwareModeling:ghidra/app/plugin/processors/sleigh/ConstructState.java;Framework/SoftwareModeling:ghidra/pcodeCPort/context/ConstructState.java	src/program/model/lang/sleigh/walker.rs	src/app/seam_stubs.rs;src/decompiler/seam_stubs.rs
TODO	ambiguous(2)	3	1	OperandSymbol	DONE|TODO	Framework/SoftwareModeling:ghidra/app/plugin/processors/sleigh/symbol/OperandSymbol.java;Framework/SoftwareModeling:ghidra/pcodeCPort/slghsymbol/OperandSymbol.java	src/program/model/lang/sleigh/symbol/mod.rs	src/app/seam_stubs.rs
TODO	ambiguous(4)	2	1	Location	DONE|TODO	Features/FunctionID:ghidra/feature/fid/service/Location.java;Framework/Docking:docking/widgets/shapes/Location.java;Framework/SoftwareModeling:ghidra/sleigh/grammar/Location.java;Framework/Utility:ghidra/util/Location.java	src/script/resource_file_java_file_manager.rs	src/util/seam_stubs.rs
TODO	ambiguous(2)	2	1	SubtableSymbol	DONE	Framework/SoftwareModeling:ghidra/app/plugin/processors/sleigh/symbol/SubtableSymbol.java;Framework/SoftwareModeling:ghidra/pcodeCPort/slghsymbol/SubtableSymbol.java	src/program/model/lang/sleigh/symbol/mod.rs	src/decompiler/seam_stubs.rs
TODO	ambiguous(2)	2	1	TripleSymbol	DONE	Framework/SoftwareModeling:ghidra/app/plugin/processors/sleigh/symbol/TripleSymbol.java;Framework/SoftwareModeling:ghidra/pcodeCPort/slghsymbol/TripleSymbol.java	src/program/model/lang/sleigh/symbol/mod.rs	src/app/seam_stubs.rs
TODO	ambiguous(2)	1	1	AddressRange	DONE|TODO	Features/PDB:ghidra/app/util/bin/format/pdb2/pdbreader/symbol/AddressRange.java;Framework/SoftwareModeling:ghidra/program/model/address/AddressRange.java	src/program/model/address/range.rs	src/format/seam_stubs.rs
TODO	ambiguous(2)	1	1	FieldContext	DONE	Features/Base:ghidra/app/util/bin/format/golang/structmapping/FieldContext.java;Framework/SoftwareModeling:ghidra/pcodeCPort/slgh_compile/FieldContext.java	src/decompiler/slgh_compile/field_context.rs	src/format/seam_stubs.rs
TODO	ambiguous(2)	1	1	Pair	DONE|TODO	Framework/Generic:generic/stl/Pair.java;Framework/Project:ghidra/framework/main/logviewer/model/Pair.java	src/framework/main/logviewer/model/pair.rs	src/app/seam_stubs.rs
TODO	ambiguous(3)	1	1	Sequence	DONE|TODO	Debug/Framework-TraceModeling:ghidra/trace/model/time/schedule/Sequence.java;Features/Base:ghidra/util/ascii/Sequence.java;Features/BytePatterns:ghidra/closedpatternmining/Sequence.java	src/feature/closedpatternmining/sequence.rs	src/util/seam_stubs.rs
TODO	ambiguous(3)	0	1	Resource	DONE	Features/Base:ghidra/app/util/bin/format/ne/Resource.java;Framework/SoftwareModeling:ghidra/program/model/data/Resource.java;Framework/Utility:generic/jar/Resource.java	src/generic/jar/resource.rs	src/format/seam_stubs.rs
