status	priority	score	fanin	class	module	path	signals
TODO	11.1	11.1	0	IsfEnum	program	src/program/model/data/isf/isf_enum.rs	dyn=4,clone/100L=3.1
TODO	11.1	11.1	0	ReferenceIteratorTestStub	program	src/program/model/symbol/reference_iterator_test_stub.rs	dyn=5,clone/100L=1.1
TODO	11.0	11.0	0	Record	framework	src/framework/db/record.rs	dyn=2,getset_pairs=7
TODO	11.0	11.0	0	MonitoredOutputStream		src/util/monitored_output_stream.rs	dyn=4,getset_pairs=3
TODO	10.9	10.9	0	SingleResourceData	format	src/format/macos/rm/single_resource_data.rs	dyn=3,rc_refcell=1,getset_pairs=1
TODO	10.9	10.9	0	Table	framework	src/framework/db/table.rs	dyn=3,arc_mutex=1,clone/100L=1.9
TODO	10.9	10.9	0	ProgressTracker	generic	src/generic/concurrent/progress_tracker.rs	unwrap/100L=10.9
TODO	10.9	10.9	0	AddressSetCollection	program	src/program/model/address/address_set_collection.rs	dyn=5
TODO	10.9	10.9	0	MultiAddressIterator	program	src/program/util/multi_address_iterator.rs	dyn=5
TODO	10.9	10.9	0	ExtLogicalLocation	sarif	src/sarif/export/ext_logical_location.rs	dyn=5
TODO	10.8	10.8	0	CFragUsage	format	src/format/macos/cfm/c_frag_usage.rs	dyn=3,rc_refcell=1,getset_pairs=1
TODO	10.8	10.8	0	Service		src/framework/service.rs	dyn=1,clone/100L=3.7,unwrap/100L=2.1,lazy_static_mut=1
TODO	10.7	10.7	0	CFragLocatorKind	format	src/format/macos/cfm/c_frag_locator_kind.rs	dyn=3,rc_refcell=1,getset_pairs=1
TODO	10.5	10.5	0	InvalidDataTypeException	program	src/program/model/data/invalid_data_type_exception.rs	dyn=5
TODO	10.5	10.5	0	MutableMemBuffer	program	src/program/model/mem/mutable_mem_buffer.rs	dyn=2,clone/100L=6.5
TODO	10.3	10.3	0	Mod	generic	src/generic/cache/mod.rs	dyn=2,arc_mutex=2
TODO	10.3	10.3	0	MemoryBank	pcode	src/pcode/memstate/memory_bank.rs	dyn=4,getset_pairs=2
TODO	10.3	10.3	0	MemoryBlockDb	program	src/program/database/mem/memory_block_db.rs	arc_mutex=2,clone/100L=1.6,getset_pairs=1,unwrap/100L=1.6
TODO	10.3	10.3	0	ExtLibraryLocation	sarif	src/sarif/export/extlib/ext_library_location.rs	dyn=5
TODO	10.0	10.0	0	Terminal	app	src/app/services/terminal.rs	dyn=4,getset_pairs=1
TODO	10.0	10.0	0	AddressTranslator	app	src/app/util/viewer/multilisting/address_translator.rs	dyn=5
TODO	10.0	10.0	0	SearchRegion	feature	src/feature/base/memsearch/bytesource/search_region.rs	dyn=5
TODO	10.0	10.0	0	VtFunctionAssociationListener	feature	src/feature/vt/gui/provider/functionassociation/vt_function_association_listener.rs	dyn=5
TODO	10.0	10.0	0	DexToJarExceptionHandler	file	src/file/formats/android/dex/dex_to_jar_exception_handler.rs	dyn=5
TODO	10.0	10.0	0	GFile	filesystem	src/filesystem/gfilesystem/g_file.rs	dyn=5
TODO	10.0	10.0	0	RefdFile	filesystem	src/filesystem/gfilesystem/refd_file.rs	dyn=5
TODO	10.0	10.0	0	CustomFormat	program	src/program/model/data/custom_format.rs	dyn=3,clone/100L=4.0
TODO	10.0	10.0	0	DataTypeDependencyException	program	src/program/model/data/data_type_dependency_exception.rs	dyn=5
TODO	10.0	10.0	0	DataTypeEncodeException	program	src/program/model/data/data_type_encode_exception.rs	dyn=5
TODO	10.0	10.0	0	AddressChangeSet	program	src/program/model/listing/address_change_set.rs	dyn=5
TODO	10.0	10.0	0	BookmarkTypeComparator	program	src/program/model/listing/bookmark_type_comparator.rs	dyn=5
TODO	10.0	10.0	0	ThunkFunction	program	src/program/model/listing/thunk_function.rs	dyn=5
TODO	10.0	10.0	0	TraceUserData	trace	src/trace/model/trace_user_data.rs	dyn=5
TODO	10.0	10.0	0	SpatialMap	util	src/util/database/spatial/spatial_map.rs	dyn=5
TODO	9.9	9.9	0	CompositeLoadImage	app	src/app/emulator/memory/composite_load_image.rs	dyn=4,unwrap/100L=1.9
TODO	9.9	9.9	0	DomainObjectService	app	src/app/util/domain_object_service.rs	dyn=4,clone/100L=1.9
TODO	9.8	9.8	0	RangeSplitter	program	src/program/model/address/range_splitter.rs	clone/100L=3.8,unwrap/100L=5.9
TODO	9.8	9.8	0	WeakValueTreeMap	util	src/util/datastruct/weak_value_tree_map.rs	clone/100L=8.3,unwrap/100L=1.4
TODO	9.6	9.6	0	HeadlessTimedTaskMonitor	app	src/app/util/headless/headless_timed_task_monitor.rs	dyn=2,getset_pairs=3,unwrap/100L=2.6
TODO	9.6	9.6	0	WeakReferenceCache	generic	src/generic/cache/weak_reference_cache.rs	clone/100L=1.6,unwrap/100L=8.0
TODO	9.6	9.6	0	CountLatch		src/util/count_latch.rs	unwrap/100L=9.6
TODO	9.5	9.5	0	IsfTypedefIntegral	program	src/program/model/data/isf/isf_typedef_integral.rs	dyn=3,clone/100L=3.5
TODO	9.5	9.5	0	IntArrayList	util	src/util/datastruct/int_array_list.rs	dyn=4,getset_pairs=1
TODO	9.4	9.4	0	DataTypeDiff	app	src/app/util/html/data_type_diff.rs	dyn=3,clone/100L=3.4
TODO	9.4	9.4	0	ThreadPool	generic	src/generic/concurrent/thread_pool.rs	clone/100L=2.2,unwrap/100L=4.1,lazy_static_mut=1
TODO	9.3	9.3	0	SetAccumulatorWrapper	util	src/util/datastruct/set_accumulator_wrapper.rs	arc_mutex=1,unwrap/100L=5.4
TODO	9.3	9.3	0	XmlException	util	src/util/xml/xml_exception.rs	dyn=4,clone/100L=1.3
TODO	9.1	9.1	0	StructureInfoLine	app	src/app/merge/structures/structure_info_line.rs	dyn=4,clone/100L=1.1
TODO	9.1	9.1	0	WeakValueHashMap	util	src/util/datastruct/weak_value_hash_map.rs	clone/100L=7.7,unwrap/100L=1.4
TODO	9.0	9.0	0	ConditionTestState	docking	src/docking/widgets/conditiontestpanel/condition_test_state.rs	dyn=4
TODO	9.0	9.0	0	ExtFunctionWriter	sarif	src/sarif/export/func/ext_function_writer.rs	dyn=4
TODO	8.9	8.9	0	ProgramModifierListener	program	src/program/database/program_modifier_listener.rs	dyn=4
TODO	8.9	8.9	0	GhidraClass	program	src/program/model/listing/ghidra_class.rs	dyn=4
TODO	8.6	6.0	43	ExternalReference	program	src/program/model/symbol/external_reference.rs	dyn=3
TODO	8.5	8.5	0	SimilarStartRowObject	feature	src/feature/machine_learning/function_finding/similar_start_row_object.rs	clone/100L=8.5
TODO	8.5	8.5	0	AddressObjectMap	program	src/program/model/address/address_object_map.rs	dyn=2,clone/100L=4.5
TODO	8.5	8.5	0	SymbolUtilities	program	src/program/model/symbol/symbol_utilities.rs	dyn=4
TODO	8.4	8.4	0	ConditionTester	docking	src/docking/widgets/conditiontestpanel/condition_tester.rs	dyn=2,clone/100L=4.4
TODO	8.4	8.4	0	IteratorStl	generic	src/generic/stl/iterator_stl.rs	dyn=4
TODO	8.4	8.4	0	MemoryBlockImpl	program	src/program/model/mem/memory_block_impl.rs	clone/100L=2.1,getset_pairs=1,unwrap/100L=5.3
TODO	8.3	8.3	0	MessageDigest	generic	src/generic/hash/message_digest.rs	dyn=4
TODO	8.3	8.3	0	Factory	program	src/program/model/address/factory.rs	clone/100L=8.3
TODO	8.2	8.2	0	AntlrUtil	sleigh	src/sleigh/grammar/antlr_util.rs	dyn=4
TODO	8.0	8.0	0	AssemblyException	app	src/app/plugin/assembler/assembly_exception.rs	dyn=4
TODO	8.0	8.0	0	SolverException	app	src/app/plugin/assembler/sleigh/expr/solver_exception.rs	dyn=4
TODO	8.0	8.0	0	AssemblyGrammarException	app	src/app/plugin/assembler/sleigh/grammars/assembly_grammar_exception.rs	dyn=4
TODO	8.0	8.0	0	ReferenceAddressPair	app	src/app/plugin/core/analysis/reference_address_pair.rs	clone/100L=8.0
TODO	8.0	8.0	0	CodeCompletion	app	src/app/plugin/core/console/code_completion.rs	dyn=4
TODO	8.0	8.0	0	SledException	app	src/app/plugin/processors/generic/sled_exception.rs	dyn=4
TODO	8.0	8.0	0	SleighException	app	src/app/plugin/processors/sleigh/sleigh_exception.rs	dyn=4
TODO	8.0	8.0	0	SleighFileException	app	src/app/plugin/processors/sleigh/sleigh_file_exception.rs	dyn=4
TODO	8.0	8.0	0	SleighFileLockException	app	src/app/plugin/processors/sleigh/sleigh_file_lock_exception.rs	dyn=4
TODO	8.0	8.0	0	LowlevelError	decompiler	src/decompiler/error/lowlevel_error.rs	dyn=4
TODO	8.0	8.0	0	TextFilter	docking	src/docking/widgets/filter/text_filter.rs	dyn=4
TODO	8.0	8.0	0	CliToolWrapper	file	src/file/cliwrapper/cli_tool_wrapper.rs	dyn=4
TODO	8.0	8.0	0	FileSystemFactoryDependencyException	filesystem	src/filesystem/gfilesystem/factory/file_system_factory_dependency_exception.rs	dyn=4
TODO	8.0	8.0	0	DwarfException	format	src/format/dwarf/dwarf_exception.rs	dyn=4
TODO	8.0	8.0	0	DwarfLineException	format	src/format/dwarf/line/dwarf_line_exception.rs	dyn=4
TODO	8.0	8.0	0	BootstrapInfoException	format	src/format/golang/bootstrap_info_exception.rs	dyn=4
TODO	8.0	8.0	0	MachException	format	src/format/macho/mach_exception.rs	dyn=4
TODO	8.0	8.0	0	Constraint	generic	src/generic/constraint/constraint.rs	dyn=4
TODO	8.0	8.0	0	RootDecisionNode	generic	src/generic/constraint/root_decision_node.rs	dyn=4
TODO	8.0	8.0	0	MessageDigestFactory	generic	src/generic/hash/message_digest_factory.rs	dyn=4
TODO	8.0	8.0	0	ResourceFile	generic	src/generic/jar/resource_file.rs	dyn=4
TODO	8.0	8.0	0	GhidraTimer	generic	src/generic/timer/ghidra_timer.rs	dyn=3,getset_pairs=2
TODO	8.0	8.0	0	GVertex		src/graph/g_vertex.rs	dyn=4
TODO	8.0	8.0	0	LowlevelError	pcode	src/pcode/error/lowlevel_error.rs	dyn=4
