reason	mode	rem	lines	module	path
descoped	struct	4	156	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/object/MDObjectC.java
descoped	struct	3	57	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/object/MDObjectCatch.java
descoped	struct	3	59	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/object/MDObjectCatchSym.java
descoped	struct	3	85	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/object/MDObjectCatchableType.java
descoped	struct	4	71	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/object/MDObjectCatchableTypeArray.java
descoped	struct	3	61	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/object/MDObjectCodeView.java
descoped	struct	3	54	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/object/MDObjectEHHandler.java
descoped	struct	3	57	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/object/MDObjectReserved.java
descoped	struct	4	68	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/object/MDObjectThrowInfo.java
descoped	struct	3	53	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/object/MDObjectTryBlockTable.java
descoped	struct	3	49	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/object/MDObjectUnknownReserved.java
descoped	struct	3	56	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/object/MDObjectUnwindFunclet.java
descoped	struct	3	53	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/object/MDObjectUnwindTable.java
descoped	struct	68	219	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/template/MDTemplateArgumentsList.java
descoped	struct	37	287	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/template/MDTemplateConstant.java
descoped	struct	36	107	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/template/MDTemplateNameAndArguments.java
descoped	struct	2	32	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/typeinfo/AbstractMDMetaClass.java
descoped	struct	4	50	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/typeinfo/MDFunctionInfo.java
descoped	struct	33	52	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/typeinfo/MDGuard.java
descoped	struct	5	44	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/typeinfo/MDMemberFunctionInfo.java
descoped	struct	2	33	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/typeinfo/MDRTTI0.java
descoped	struct	2	33	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/typeinfo/MDRTTI1.java
descoped	struct	2	33	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/typeinfo/MDRTTI2.java
descoped	struct	2	33	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/typeinfo/MDRTTI3.java
descoped	struct	2	33	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/typeinfo/MDRTTI4.java
