class	rust_is	should_be	rule	java_kind	location	why
DBTracePlatformManager	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/database/guest/db_trace_platform_manager.rs:31	concrete Java `class` (0 in-repo subclass(es))
DBTraceReference	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/database/symbol/db_trace_reference.rs:45	concrete Java `class` (3 in-repo subclass(es))
DBTraceRegisterContextManager	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/database/context/db_trace_register_context_manager.rs:49	concrete Java `class` (0 in-repo subclass(es))
DBTraceStaticMappingManager	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/database/module/db_trace_static_mapping_manager.rs:34	concrete Java `class` (0 in-repo subclass(es))
DWordDataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/dword_data_type.rs:27	concrete Java `class` (0 in-repo subclass(es))
DataIterator	trait	iterator	R6a-cursor	interface	ghidra-rs/src/program/model/listing/data_iterator.rs:8	extends Iterator
DataOrganizationImpl	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/data_organization_impl.rs:104	concrete Java `class` (0 in-repo subclass(es))
DataRefType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/symbol/data_ref_type.rs:14	concrete Java `class` (0 in-repo subclass(es))
DataTable	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/datastruct/data_table.rs:14	concrete Java `class` (1 in-repo subclass(es))
DataTypeArchiveDB	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/data_type_archive_db.rs:30	concrete Java `class` (0 in-repo subclass(es))
DataTypeArchiveIdDumper	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/data_type_archive_id_dumper.rs:36	concrete Java `class` (0 in-repo subclass(es))
DataTypeInstance	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/data_type_instance.rs:84	concrete Java `class` (0 in-repo subclass(es))
DataTypeTransferable	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/data_type_transferable.rs:48	concrete Java `class` (0 in-repo subclass(es))
DbCache	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/db_cache.rs:37	concrete Java `class` (1 in-repo subclass(es))
DecoratingPrintWriter	trait	struct	R10-abstract-orphan	class/abstract	ghidra-rs/src/script/decorating_print_writer.rs:7	abstract class with no in-repo subclasses
DecryptedPacket	enum	struct	R14-concrete-class	class	ghidra-rs/src/file/crypto/decrypted_packet.rs:8	concrete Java `class` (0 in-repo subclass(es))
DefaultAssemblyResolvedBackfill	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/plugin/assembler/sleigh/sem/default_assembly_resolved_backfill.rs:15	concrete Java `class` (0 in-repo subclass(es))
DefaultDataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/default_data_type.rs:78	concrete Java `class` (0 in-repo subclass(es))
DefaultGhidraProtocolHandler	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/protocol/ghidra/default_ghidra_protocol_handler.rs:23	concrete Java `class` (0 in-repo subclass(es))
DefaultLanguageService	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/util/default_language_service.rs:40	concrete Java `class` (0 in-repo subclass(es))
DefaultPluginPackagingProvider	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/plugintool/default_plugin_packaging_provider.rs:16	concrete Java `class` (0 in-repo subclass(es))
DefaultProjectData	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/data/default_project_data.rs:86	concrete Java `class` (1 in-repo subclass(es))
DefaultSchemaContext	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/model/target/schema/default_schema_context.rs:24	concrete Java `class` (1 in-repo subclass(es))
DefaultTraceObjectSchema	trait	struct	R14-concrete-class	class	ghidra-rs/src/trace/model/target/schema/default_trace_object_schema.rs:38	concrete Java `class` (0 in-repo subclass(es))
DependencyGraph	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/graph/dependency_graph.rs:19	concrete Java `class` (0 in-repo subclass(es))
DepthFirstSearch	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/graph/depth_first_search.rs:21	concrete Java `class` (0 in-repo subclass(es))
Dimension	struct	trait	R9-open-interface	interface	ghidra-rs/src/graph/visualization/jgt_tidier_tree_layout_algorithm.rs:7	Java `interface` with 6 abstract method(s), 0 in-repo implementor(s)
DirectedGraph	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/graph/directed_graph.rs:40	concrete Java `class` (2 in-repo subclass(es))
DynamicEntry	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/pcode/dynamic_entry.rs:46	concrete Java `class` (0 in-repo subclass(es))
DynamicHash	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/pcode/dynamic_hash.rs:271	concrete Java `class` (0 in-repo subclass(es))
DynamicVariableStorage	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/lang/dynamic_variable_storage.rs:44	concrete Java `class` (0 in-repo subclass(es))
Edge	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/graph/edge.rs:17	concrete Java `class` (0 in-repo subclass(es))
EdgeSet	trait	struct	R14-concrete-class	class	ghidra-rs/src/util/graph/edge_set.rs:18	concrete Java `class` (0 in-repo subclass(es))
EmptyFunctionIterator	struct	enum	R1-java-enum	enum	ghidra-rs/src/program/model/listing/function_iterator.rs:13	Java `enum` with 1 constants
EmptyFunctionIterator	struct	enum	R1-java-enum	enum	ghidra-rs/src/trace/util/empty_function_iterator.rs:11	Java `enum` with 1 constants
EnumeratingIterator	trait	iterator	R6a-cursor	interface	ghidra-rs/src/trace/util/enumerating_iterator.rs:6	extends Iterator
EqualEquation	trait	struct	R14-concrete-class	class	ghidra-rs/src/decompiler/slghpatexpress/equal_equation.rs:19	concrete Java `class` (0 in-repo subclass(es))
EquateManager	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/symbol/equate_manager.rs:144	concrete Java `class` (0 in-repo subclass(es))
ExprTree	trait	struct	R14-concrete-class	class	ghidra-rs/src/decompiler/slgh_compile/expr_tree.rs:20	concrete Java `class` (0 in-repo subclass(es))
ExpressionEvaluator	trait	struct	R14-concrete-class	class	ghidra-rs/src/generic/expressions/expression_evaluator.rs:20	concrete Java `class` (1 in-repo subclass(es))
