class	fanin	path
DataOrganizationTestUtils	1245	Ghidra/Framework/SoftwareModeling/src/test/java/ghidra/program/model/data/DataOrganizationTestUtils.java
DataTypeInstance	1245	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataTypeInstance.java
MutabilitySettingsDefinition	1245	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/MutabilitySettingsDefinition.java
PointerType	1245	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/PointerType.java
QWordDataType	1245	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/QWordDataType.java
TranslationSettingsDefinition	1245	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/TranslationSettingsDefinition.java
Undefined4DataType	1245	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/Undefined4DataType.java
AbstractComplexDataType	1244	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/AbstractComplexDataType.java
AbstractCompositeBitFieldTest	1244	Ghidra/Features/Base/src/test/java/ghidra/program/model/data/AbstractCompositeBitFieldTest.java
DataTypeImpl	1244	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataTypeImpl.java
DataTypeManagerChangeListener	1244	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataTypeManagerChangeListener.java
DataTypeWithCharset	1244	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataTypeWithCharset.java
Float10DataType	1244	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/Float10DataType.java
LongDataType	1244	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/LongDataType.java
PointerTypedef	1244	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/PointerTypedef.java
UnicodeDataType	1244	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/UnicodeDataType.java
UnionDataType	1244	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/UnionDataType.java
AlignedStructurePacker	1243	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/AlignedStructurePacker.java
BitFieldPacking	1243	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/BitFieldPacking.java
DataTypeManagerDomainObject	1243	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataTypeManagerDomainObject.java
DoubleDataType	1243	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DoubleDataType.java
FunctionDefinitionDataType	1243	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/FunctionDefinitionDataType.java
GenericDataType	1243	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/GenericDataType.java
SettingsBuilder	1243	Ghidra/Framework/SoftwareModeling/src/test/java/ghidra/program/model/data/SettingsBuilder.java
AddressSpaceSettingsDefinition	1242	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/AddressSpaceSettingsDefinition.java
BadDataType	1242	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/BadDataType.java
ComponentOffsetSettingsDefinition	1242	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/ComponentOffsetSettingsDefinition.java
GenericCallingConvention	1242	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/GenericCallingConvention.java
LongDoubleDataType	1242	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/LongDoubleDataType.java
PascalString255DataType	1242	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/PascalString255DataType.java
PascalStringDataType	1242	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/PascalStringDataType.java
PascalUnicodeDataType	1242	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/PascalUnicodeDataType.java
Playable	1242	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/Playable.java
